date,description,repoUrl,storyUrl
2/14/24,Misplaced Trust: Interactives,https://github.com/Grist-Data-Desk/land-grab-2-interactives,https://grist.org/project/equity/land-grant-universities-indigenous-lands-fossil-fuels/
2/7/24,Misplaced Trust: Stolen Indigenous land is the foundation of the land-grant university system. Climate change is its legacy.,https://github.com/Grist-Data-Desk/land-grab-2,https://grist.org/project/equity/land-grant-universities-indigenous-lands-fossil-fuels/
2/16/23,Any Way the Wind Blows: A Koch-owned chemical plant in Texas spent years running from the Clean Air Act. New evidence suggests it bent the law until it broke.,https://github.com/Grist-Data-Desk/windblow,https://grist.org/project/accountability/koch-oxbow-port-arthur-texas-clean-air-act-pollution/
4/5/21,Waves of Abandonment: The Permian Basin is ground zero for a billion-dollar surge of zombie oil wells.,https://github.com/Grist-Data-Desk/abandoned-wells,https://grist.org/abandoned-oil-gas-wells-permian-texas-new-mexico/
